code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank,Underlying,symbol_TV,symbol_TV_1
IEX,3750,1,150000,Finance,Investment Banks/Brokers,,,,,INDIAN ENERGY EXC LTD               ,IEX,NSE:IEX!1
ASHOKLEY,5000,2.5,150000,Producer Manufacturing,Trucks/Construction/Farm Machinery,,,,,ASHOK LEYLAND LTD                   ,ASHOKLEY,NSE:ASHOKLEY!1
ASIANPAINT,200,20,8000,Process Industries,Industrial Specialties,,,,,ASIAN PAINTS LIMITED                ,ASIANPAINT,NSE:ASIANPAINT!1
IGL,1375,5,55000,Utilities,Gas Distributors,,,,,INDRAPRASTHA GAS LTD                ,IGL,NSE:IGL!1
INDIAMART,300,20,9000,Retail Trade,Internet Retail,,,,,INDIAMART INTERMESH LTD             ,INDIAMART,NSE:INDIAMART!1
INDIGO,300,20,9000,Transportation,Airlines,,,,,INTERGLOBE AVIATION LTD             ,INDIGO,NSE:INDIGO!1
INDUSINDBK,500,20,15000,Finance,Major Banks,,,,,INDUSIND BANK LIMITED               ,INDUSINDBK,NSE:INDUSINDBK!1
BAJAJFINSV,500,20,15000,Finance,Life/Health Insurance,,,,,BAJAJ FINSERV LTD.                  ,BAJAJFINSV,NSE:BAJAJFINSV!1
INDUSTOWER,3400,2.5,136000,Finance,Finance/Rental/Leasing,,,,,INDUS TOWERS LIMITED                ,INDUSTOWER,NSE:INDUSTOWER!1
INFY,400,10,16000,Technology Services,Information Technology Services,,,,,INFOSYS LIMITED                     ,INFY,NSE:INFY!1
BPCL,1800,5,54000,Energy Minerals,Oil Refining/Marketing,,,,,BHARAT PETROLEUM CORP  LT           ,BPCL,NSE:BPCL!1
IOC,9750,1,195000,Energy Minerals,Integrated Oil,,,,,INDIAN OIL CORP LTD                 ,IOC,NSE:IOC!1
IRCTC,875,10,26250,Consumer Services,Other Consumer Services,,,,,INDIAN RAIL TOUR CORP LTD           ,IRCTC,NSE:IRCTC!1
JINDALSTEL,1250,10,37500,Non-Energy Minerals,Steel,,,,,JINDAL STEEL & POWER LTD            ,JINDALSTEL,NSE:JINDALSTEL!1
KOTAKBANK,400,10,12000,Finance,Major Banks,,,,,KOTAK MAHINDRA BANK LTD             ,KOTAKBANK,NSE:KOTAKBANK!1
BIOCON,2500,2.5,100000,Health Technology,Pharmaceuticals: Major,,,,,BIOCON LIMITED.                     ,BIOCON,NSE:BIOCON!1
L&TFH,4462,2.5,133860,Finance,Finance/Rental/Leasing,,,,,L&T FINANCE HOLDINGS LTD            ,L_TFH,NSE:L_TFH!1
BRITANNIA,200,20,6000,Consumer Non-Durables,Food: Specialty/Candy,,,,,BRITANNIA INDUSTRIES LTD            ,BRITANNIA,NSE:BRITANNIA!1
LALPATHLAB,300,20,9000,Health Services,Medical/Nursing Services,,,,,DR. LAL PATH LABS LTD.              ,LALPATHLAB,NSE:LALPATHLAB!1
LAURUSLABS,1700,5,51000,Health Technology,Pharmaceuticals: Major,,,,,LAURUS LABS LIMITED                 ,LAURUSLABS,NSE:LAURUSLABS!1
LT,300,20,9000,Industrial Services,Engineering & Construction,,,,,LARSEN & TOUBRO LTD.                ,LT,NSE:LT!1
LTTS,200,50,6000,Industrial Services,Engineering & Construction,,,,,L&T TECHNOLOGY SER. LTD.            ,LTTS,NSE:LTTS!1
LUPIN,850,10,17000,Health Technology,Pharmaceuticals: Other,,,,,LUPIN LIMITED                       ,LUPIN,NSE:LUPIN!1
M&M,350,20,14000,Consumer Durables,Motor Vehicles,,,,,MAHINDRA & MAHINDRA LTD             ,M_M,NSE:M_M!1
M&MFIN,2000,5,80000,Finance,Finance/Rental/Leasing,,,,,M&M FIN. SERVICES LTD               ,M_MFIN,NSE:M_MFIN!1
MANAPPURAM,6000,2.5,180000,Finance,Finance/Rental/Leasing,,,,,MANAPPURAM FINANCE LTD              ,MANAPPURAM,NSE:MANAPPURAM!1
COROMANDEL,700,10,21000,Process Industries,Chemicals: Specialty,,,,,COROMANDEL INTERNTL. LTD            ,COROMANDEL,NSE:COROMANDEL!1
MARICO,1200,5,48000,Consumer Non-Durables,Household/Personal Care,,,,,MARICO LIMITED                      ,MARICO,NSE:MARICO!1
MARUTI,50,100,2500,Consumer Durables,Motor Vehicles,,,,,MARUTI SUZUKI INDIA LTD.            ,MARUTI,NSE:MARUTI!1
MCDOWELL-N,700,10,21000,Consumer Non-Durables,Beverages: Alcoholic,,,,,UNITED SPIRITS LIMITED              ,MCDOWELL_N,NSE:MCDOWELL_N!1
CUMMINSIND,300,20,12000,Producer Manufacturing,Auto Parts: OEM,,,,,CUMMINS INDIA LTD                   ,CUMMINSIND,NSE:CUMMINSIND!1
METROPOLIS,400,20,16000,Health Services,Medical/Nursing Services,,,,,METROPOLIS HEALTHCARE LTD           ,METROPOLIS,NSE:METROPOLIS!1
MFSL,800,10,24000,Finance,Life/Health Insurance,,,,,MAX FINANCIAL SERV LTD              ,MFSL,NSE:MFSL!1
MOTHERSON,7100,1,284000,Producer Manufacturing,Auto Parts: OEM,,,,,SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON,NSE:MOTHERSON!1
MPHASIS,275,20,8250,Technology Services,Packaged Software,,,,,MPHASIS LIMITED                     ,MPHASIS,NSE:MPHASIS!1
MRF,5,500,200,Consumer Durables,Automotive Aftermarket,,,,,MRF LTD                             ,MRF,NSE:MRF!1
DIXON,100,100,4000,Electronic Technology,Electronic Production Equipment,,,,,DIXON TECHNO (INDIA) LTD            ,DIXON,NSE:DIXON!1
MUTHOOTFIN,550,20,16500,Finance,Finance/Rental/Leasing,,,,,MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,NSE:MUTHOOTFIN!1
NATIONALUM,7500,1,225000,Non-Energy Minerals,Aluminum,,,,,NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,NSE:NATIONALUM!1
NAUKRI,150,50,4500,Technology Services,Internet Software/Services,,,,,INFO EDGE (I) LTD                   ,NAUKRI,NSE:NAUKRI!1
EICHERMOT,175,50,5250,Consumer Durables,Motor Vehicles,,,,,EICHER MOTORS LTD                   ,EICHERMOT,NSE:EICHERMOT!1
NESTLEIND,400,20,12000,Consumer Non-Durables,Food: Major Diversified,,,,,NESTLE INDIA LIMITED                ,NESTLEIND,NSE:NESTLEIND!1
NMDC,4500,2.5,135000,Non-Energy Minerals,Other Metals/Minerals,,,,,NMDC LTD.                           ,NMDC,NSE:NMDC!1
NTPC,3000,2.5,90000,Utilities,Electric Utilities,,,,,NTPC LTD                            ,NTPC,NSE:NTPC!1
OBEROIRLTY,700,20,21000,Finance,Real Estate Development,,,,,OBEROI REALTY LIMITED               ,OBEROIRLTY,NSE:OBEROIRLTY!1
OFSS,200,50,6000,Technology Services,Packaged Software,,,,,ORACLE FIN SERV SOFT LTD.           ,OFSS,NSE:OFSS!1
PAGEIND,15,250,600,Consumer Non-Durables,Apparel/Footwear,,,,,PAGE INDUSTRIES LTD                 ,PAGEIND,NSE:PAGEIND!1
PEL,750,10,22500,Finance,Investment Managers,,,,,PIRAMAL ENTERPRISES LTD             ,PEL,NSE:PEL!1
PERSISTENT,100,100,3000,Technology Services,Information Technology Services,,,,,PERSISTENT SYSTEMS LTD              ,PERSISTENT,NSE:PERSISTENT!1
PFC,3875,5,77500,Finance,Finance/Rental/Leasing,,,,,POWER FIN CORP LTD.                 ,PFC,NSE:PFC!1
PIDILITIND,250,20,10000,Process Industries,Industrial Specialties,,,,,PIDILITE INDUSTRIES LTD             ,PIDILITIND,NSE:PIDILITIND!1
PNB,8000,1,240000,Finance,Major Banks,,,,,PUNJAB NATIONAL BANK                ,PNB,NSE:PNB!1
POLYCAB,100,50,4000,Producer Manufacturing,Electrical Products,,,,,POLYCAB INDIA LIMITED               ,POLYCAB,NSE:POLYCAB!1
COALINDIA,2100,2.5,63000,Energy Minerals,Coal,,,,,COAL INDIA LTD                      ,COALINDIA,NSE:COALINDIA!1
PVRINOX,407,20,12210,0,0,,,,,PVR INOX LIMITED                    ,PVRINOX,NSE:PVRINOX!1
RAMCOCEM,850,10,25500,Non-Energy Minerals,Construction Materials,,,,,THE RAMCO CEMENTS LIMITED           ,RAMCOCEM,NSE:RAMCOCEM!1
RBLBANK,2500,5,100000,Finance,Major Banks,,,,,RBL BANK LIMITED                    ,RBLBANK,NSE:RBLBANK!1
RECLTD,2000,10,60000,Finance,Finance/Rental/Leasing,,,,,REC LIMITED                         ,RECLTD,NSE:RECLTD!1
RELIANCE,250,20,10000,Energy Minerals,Oil Refining/Marketing,,,,,RELIANCE INDUSTRIES LTD             ,RELIANCE,NSE:RELIANCE!1
SAIL,8000,1,240000,Non-Energy Minerals,Steel,,,,,STEEL AUTHORITY OF INDIA            ,SAIL,NSE:SAIL!1
SBICARD,800,10,32000,Finance,Finance/Rental/Leasing,,,,,SBI CARDS & PAY SER LTD             ,SBICARD,NSE:SBICARD!1
SBILIFE,750,10,15000,Finance,Life/Health Insurance,,,,,SBI LIFE INSURANCE CO LTD           ,SBILIFE,NSE:SBILIFE!1
SBIN,1500,5,45000,Finance,Regional Banks,,,,,STATE BANK OF INDIA                 ,SBIN,NSE:SBIN!1
SHRIRAMFIN,300,20,12000,Finance,Finance/Rental/Leasing,,,,,SHRIRAM FINANCE LIMITED             ,SHRIRAMFIN,NSE:SHRIRAMFIN!1
CONCOR,1000,10,30000,Transportation,Railroads,,,,,CONTAINER CORP OF IND LTD           ,CONCOR,NSE:CONCOR!1
SIEMENS,150,50,6000,Producer Manufacturing,Electrical Products,,,,,SIEMENS LTD                         ,SIEMENS,NSE:SIEMENS!1
SRF,375,20,11250,Process Industries,Industrial Specialties,,,,,SRF LTD                             ,SRF,NSE:SRF!1
SUNPHARMA,700,10,21000,Health Technology,Pharmaceuticals: Major,,,,,SUN PHARMACEUTICAL IND L            ,SUNPHARMA,NSE:SUNPHARMA!1
SUNTV,1500,10,45000,Consumer Services,Broadcasting,,,,,SUN TV NETWORK LIMITED              ,SUNTV,NSE:SUNTV!1
TATACHEM,550,10,22000,Process Industries,Chemicals: Agricultural,,,,,TATA CHEMICALS LTD                  ,TATACHEM,NSE:TATACHEM!1
TATACOMM,500,20,15000,Communications,Major Telecommunications,,,,,TATA COMMUNICATIONS LTD             ,TATACOMM,NSE:TATACOMM!1
TATACONSUM,900,10,27000,Consumer Non-Durables,Food: Specialty/Candy,,,,,TATA CONSUMER PRODUCT LTD           ,TATACONSUM,NSE:TATACONSUM!1
