SYMBOL,TradingView_Symbol,Vwap_Regn_Zone,Vwap_Regn_Cross,Vol_Suptd_Zone
TORNTPHARM,NSE:TORNTPHARM1!,,,
TRENT,NSE:TRENT1!,,,
TVSMOTOR,NSE:TVSMOTOR1!,,,
UBL,NSE:UBL1!,,,
ULTRACEMCO,NSE:ULTRACEMCO1!,,,
UPL,NSE:UPL1!,,,
VEDL,NSE:VEDL1!,,,
VOLTAS,NSE:VOLTAS1!,,,
WIPRO,NSE:WIPRO1!,,,
ZEEL,NSE:ZEEL1!,,,
ZYDUSLIFE,NSE:ZYDUSLIFE1!,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
